nombre,aliases,zona(parroquia),municipio,referencia,lat,lng,urgencia,estado,notes
Bucanero,Residencias Bucanero,Caraballeda,Vargas,"Sector Tanaguarena, final de la Av. Principal, frente a la Marina",10.61405,-66.83652,CRÍTICA,no_confirmado,Estructura residencial unificada de uso vacacional.
Coral Bella,Residencias Coral Bella,Caraballeda,Vargas,"Sector Caribe, Calle Los Taicos, diagonal a Plaza Caribe",10.61412,-66.84615,CRÍTICA,no_confirmado,Estructura residencial identificada y localizada en Caraballeda.
Costa Brava,Edificio Costa Brava,Caraballeda,Vargas,"Sector El Palmar, Av. José María España, frente al Club Playa Azul",10.61284,-66.85691,CRÍTICA,no_confirmado,Complejo de condominios residenciales costeros en Caraballeda.
Edificio Dist. Rosanday,Rosanday / Distribuidora Rosanday,Caraballeda,Vargas,"Sector Caribe, Calle El Comercio, detrás del centro comercial",10.61251,-66.84503,CRÍTICA,no_confirmado,Inmueble de uso mixto (comercial/residencial).
Edificio La Gabarra,La Gabarra,Caraballeda,Vargas,"Av. José María España, Paseo Marítimo de Caraballeda",10.61482,-66.85109,CRÍTICA,no_confirmado,Estructura residencial frente al litoral marítimo.
Edificio Parque Caraballeda,Parque Caraballeda,Caraballeda,Vargas,"Av. Principal de Caraballeda, entre Calle Los Hoteles y Av. Costanera",10.61204,-66.85253,CRÍTICA,no_confirmado,Estructura residencial multifamiliar de media densidad.
Miramar,Residencias Miramar,Caraballeda,Vargas,"Sector Tanaguarena, Av. Principal con Calle El Estero",10.61301,-66.84209,CRÍTICA,no_confirmado,Estructura residencial multifamiliar costera.
Residencia Los Corales,Los Corales,Caraballeda,Vargas,"Urbanización Los Corales, Av. Principal con Calle Los Baños",10.61401,-66.86105,CRÍTICA,no_confirmado,Zona con susceptibilidad de licuación de suelos costeros.
Residencias Breogan,,Caraballeda,Vargas,"Urb. Los Corales, Av. Intercomunal con Calle San Bartolo",10.61385,-66.86152,CRÍTICA,no_confirmado,Estructura residencial multifamiliar consolidada.
Residencias Caribe,Caribe / Caribe (los cocos),Caraballeda,Vargas,"Av. La Costanera, Sector Caribe, frente a Playa Caribe",10.61555,-66.84424,CRÍTICA,no_confirmado,Unificación de variantes ortográficas y reportes de campo.
Residencias Coral Beach,,Caraballeda,Vargas,"Av. La Costanera, Sector Caribe Este, primera línea de playa",10.61623,-66.83951,CRÍTICA,no_confirmado,Estructura multifamiliar de alta densidad vacacional.
Residencias Gran Terraza,,Caraballeda,Vargas,"Sector Tanaguarena, Av. La Costanera con Calle de Servicio",10.61352,-66.84101,CRÍTICA,no_confirmado,Complejo vacacional de apartamentos residenciales.
Residencias La Mar Suites,La Mar Suites,Caraballeda,Vargas,"Sector Caribe Occidental, Av. La Costanera con Calle Los Yates",10.61511,-66.84902,CRÍTICA,no_confirmado,Estructura residencial y apartotel turística.
Residencias Ritasol Palace,Rita Sol Palace,Caraballeda,Vargas,"Sector Costanera Caribe, al lado de Residencias Coral Beach",10.61502,-66.84004,CRÍTICA,no_confirmado,Apartamentos residenciales vacacionales multifamiliares.
Residencias Vistamar,,Caraballeda,Vargas,"Urbanización Palmar Este, Av. La Laguna",10.61109,-66.84702,CRÍTICA,no_confirmado,Edificio residencial multifamiliar de media densidad.
Rocapark,Residencias Rocapark,Caraballeda,Vargas,"Urbanización Los Corales, Calle La Roca, falda del cerro",10.60915,-66.86421,CRÍTICA,no_confirmado,Ubicado en el abanico aluvial / cono de deyección de Los Corales.
Tahiti,Residencias Tahiti,Caraballeda,Vargas,"Urbanización Palmar Este, Calle Caroní",10.61121,-66.84852,CRÍTICA,no_confirmado,Estructura residencial unifamiliar/multifamiliar mediana.
Bloque 3 de La Páez,,Catia La Mar,Vargas,"Urbanización José Antonio Páez, Sector Central de los Bloques",10.59854,-67.03121,CRÍTICA,no_confirmado,Bloque multifamiliar masivo de alta densidad social.
Canes,Complejo Naval Canes,Catia La Mar,Vargas,"Complejo Deportivo de la Base Naval, Av. El Ejército, Mamo",10.60151,-67.02302,CRÍTICA,no_confirmado,Instalaciones deportivas e institucionales navales.
Edificio Albatros,Albatroz / Edificio Albatros,Catia La Mar,Vargas,"Urbanización Playa Grande Sector Este, Calle Las Escuelas",10.60202,-67.02509,CRÍTICA,no_confirmado,Inmueble residencial multifamiliar de media altura.
La Estrella,Edificio La Estrella,Catia La Mar,Vargas,"Casco Central de Catia La Mar, Calle La Soublette",10.59612,-67.02784,CRÍTICA,no_confirmado,Estructura de uso residencial y comercial en planta baja.
Las Palmas,Residencias Las Palmas,Catia La Mar,Vargas,"Sector Playa Verde, Av. Principal con Calle Los Almendros",10.60341,-67.01815,CRÍTICA,no_confirmado,Estructura multifamiliar mediana de Catia La Mar.
SUMA,Edificio SUMA / Tienda SUMA,La Guaira,Vargas,"Casco Central de La Guaira, Av. Soublette, frente al Puerto de La Guaira",10.60115,-66.93242,CRÍTICA,no_confirmado,Edificación mixta comercial/administrativa de valor logístico central.
Edificio Punta Brisas,,Macuto,Vargas,"Urbanización Las Quince Letras, Calle Carabobo",10.61202,-66.88701,CRÍTICA,no_confirmado,Edificio residencial multifamiliar consolidado.
Hotel Eduard's,Hotel Edwards,Macuto,Vargas,"Av. Intercomunal de Macuto, frente al Paseo Macuto y Estadio",10.61445,-66.88902,CRÍTICA,no_confirmado,Colapso estructural severo catastrófico de edificación hotelera.
Los Delfines,Edificio Los Delfines,Macuto,Vargas,"Sector El Álamo, Paseo del Mar, Calle Los Baños",10.61234,-66.88641,CRÍTICA,no_confirmado,Estructura residencial multifamiliar costera de Macuto.
Res Club de Playa,Residencia Club de Playa,Macuto,Vargas,"Av. La Playa, Sector Álamo costanera, frente al Balneario",10.61302,-66.89154,CRÍTICA,no_confirmado,Complejo residencial de apartamentos turísticos.
Residencia Llona,Edificio Llona,Macuto,Vargas,"Casco Histórico de Macuto, Av. La Línea, cerca del río Macuto",10.60871,-66.88412,CRÍTICA,no_confirmado,Estructura residencial de valor histórico/arquitectónico mediano.
Residencias Mariola y Maribel,Mariola / Mariola y Maribel,Macuto,Vargas,"Sector El Álamo, Calle San Bartolomé con Av. Intercomunal",10.61181,-66.88509,CRÍTICA,no_confirmado,Torres residenciales gemelas multifamiliares.
Misión Vivienda Los Cocos,,Maiquetía,Vargas,"Sector Los Cocos, Calle El Río, adyacente al viaducto de la autopista",10.60221,-66.94554,CRÍTICA,no_confirmado,Complejo estatal multifamiliar denso de estructura de concreto.
Bello Horizonte,Residencias Bello Horizonte,Urimare,Vargas,"Urbanización Playa Grande, Av. Principal con Av. Principal de Mamo",10.60803,-67.00952,CRÍTICA,no_confirmado,Estructura residencial multifamiliar.
Edificio Oasis Beach,,Urimare,Vargas,"Urbanización Playa Grande, Calle Comercial N° 2",10.60855,-67.01002,CRÍTICA,no_confirmado,Estructura de apartamentos residenciales moderna.
La Llovizna,Residencias La Llovizna,Urimare,Vargas,"Urbanización Playa Grande, Eje Norte Costero, Calle El Yate",10.60921,-67.01104,CRÍTICA,no_confirmado,Edificio residencial multifamiliar vacacional.
Mariana grande,Residencias Mariana Grande,Urimare,Vargas,"Urbanización Playa Grande, Av. Circunvalación Norte",10.60892,-67.01411,CRÍTICA,no_confirmado,Estructura residencial de la urbanización Playa Grande.
Mariana mar,Residencias Mariana Mar,Urimare,Vargas,"Urbanización Playa Grande, Calle Los Hoteles, adyacente a zona costera",10.60912,-67.01384,CRÍTICA,no_confirmado,Estructura residencial vecina a Mariana Grande en Playa Grande.
Pez Vela,Residencias Pez Vela,Urimare,Vargas,"Urbanización Playa Grande, Av. Costanera con Calle Los Navegantes",10.60904,-67.00881,CRÍTICA,no_confirmado,Estructura multifamiliar de mediana altura georreferenciada.
Residencias La Trinidad,,Urimare,Vargas,"Urbanización Playa Grande, Calle El Mirador",10.60822,-67.00905,CRÍTICA,no_confirmado,Estructura residencial multifamiliar unificada con éxito.
